,y,x,street_count,highway,ref
26034526,-37.8143982,144.9547093,4,,
26034533,-37.8139532,144.9603165,4,traffic_signals,
26034534,-37.814661,144.9578571,4,traffic_signals,
26034544,-37.8166411,144.9587215,4,,
26034576,-37.8056297,144.9507334,4,,
26034577,-37.8065107,144.9512027,3,,
26034627,-37.8072469,144.9534385,4,,
26034662,-37.8098683,144.9666843,4,traffic_signals,
26034663,-37.8091519,144.9691444,4,traffic_signals,
26034664,-37.8084183,144.9716133,4,,
26034668,-37.8093421,144.9720466,4,,
26034669,-37.8108078,144.9671114,4,,
26034670,-37.8100739,144.9695718,4,,
26034671,-37.8103791,144.9725428,3,,
26034672,-37.811118,144.970076,4,traffic_signals,
26034673,-37.8118486,144.9675849,4,traffic_signals,
26051948,-37.8150464,144.9718458,4,traffic_signals,
26051949,-37.815766,144.9693868,4,,
26051950,-37.8130912,144.9709361,4,traffic_signals,
26051952,-37.8138092,144.968476,4,traffic_signals,
30220444,-37.8072513,144.9689086,4,,
30287324,-37.8070773,144.9672788,4,,
30287325,-37.8070938,144.9674392,4,,
30287404,-37.8073976,144.9672704,3,,
30287464,-37.8057435,144.9772178,4,traffic_signals,
30287465,-37.8081175,144.9768623,4,,
30467855,-37.808357,144.9553745,3,,
30467863,-37.8085474,144.955341,3,,
30942256,-37.8054874,144.9429733,4,,
30942258,-37.807157,144.9469857,4,,
30942260,-37.8078164,144.9479028,4,,
30942261,-37.8084721,144.9485629,4,,
30942262,-37.8092635,144.9492642,4,,
30942265,-37.8111115,144.9504044,4,,
30942766,-37.8050909,144.9479638,3,,
30942794,-37.8055485,144.9487132,4,,
30942795,-37.8063868,144.9497952,4,,
30942992,-37.8071849,144.95067,4,,
30942993,-37.808163,144.9515365,4,,
30943326,-37.8050106,144.9677953,4,,
30943327,-37.8051695,144.9692462,3,,
30944137,-37.809766,144.9782721,4,,
30945324,-37.8080098,144.9758274,3,,
30945575,-37.8082903,144.9785409,3,,
30945662,-37.8121125,144.9778737,4,,
33085559,-37.8103387,144.9570621,3,,
33085575,-37.810947,144.9573376,2,,
33238452,-37.8238054,144.9624781,4,,
33675553,-37.8089944,144.9580379,3,,
33675555,-37.808901,144.9579007,5,,
33675682,-37.8067516,144.9643373,4,,
34157905,-37.807237,144.9687697,4,,
34160610,-37.8051543,144.9691048,4,,
34633426,-37.8068643,144.954233,3,,
35285653,-37.8077563,144.9546505,3,,
35354279,-37.8081472,144.9538488,4,,
35354783,-37.8079445,144.9519627,3,,
36821291,-37.8237214,144.9625764,4,,
36823184,-37.8179918,144.9503443,4,,
54562179,-37.8209866,144.9761296,3,,
55722470,-37.8076936,144.9580821,3,,
55723357,-37.8087251,144.9579066,2,crossing,
60072264,-37.8211396,144.9552063,4,,
60095429,-37.8232695,144.9783224,4,,
60096189,-37.8183093,144.9786987,4,,
60096193,-37.8164393,144.978935,4,,
60097600,-37.8151327,144.9449192,3,,
60653705,-37.8189307,144.946722,4,,
60653706,-37.817899,144.9502679,4,,
60653707,-37.8178646,144.9505202,4,,
60653714,-37.8190274,144.9467608,4,,
60653715,-37.8190658,144.9466291,4,,
60653725,-37.8128719,144.9429991,4,,
60653733,-37.8127644,144.9428115,4,,
60653735,-37.8127914,144.9432898,4,,
92130447,-37.8126764,144.9430571,4,,
92138348,-37.8201555,144.9484883,3,,
92138359,-37.8185297,144.9484484,4,,
92139159,-37.8184922,144.948613,4,,
92140671,-37.8184062,144.9485331,3,,
92141608,-37.8196438,144.9477922,2,,
92141618,-37.8189026,144.9471781,3,,
103121662,-37.8131606,144.9553958,3,,
107172365,-37.821697,144.9629374,4,,
107172451,-37.8226714,144.9641243,4,,
107172471,-37.8214398,144.9638786,3,,
107172479,-37.8220887,144.9645258,1,,
113536277,-37.8177558,144.9625886,3,,
114607245,-37.8170218,144.9650746,3,,
114607252,-37.8174567,144.965278,1,,
122705649,-37.8217823,144.952213,4,,
122705650,-37.8217203,144.9525307,3,,
122749619,-37.8133669,144.941657,3,,
122749676,-37.8134845,144.9409737,4,,
122749830,-37.8136148,144.9410528,4,,
122751902,-37.813847,144.9423424,3,,
122751905,-37.8141526,144.9427898,1,,
122752041,-37.8137976,144.9420867,3,,
122752286,-37.8141498,144.9413683,3,,
